PM10,PM2.5,SO2,NO2,O3,CO,Latitude,Longitude
35.0,19.0,0.004,0.012,0.03,0.3,37.5720164,127.0050075
31.0,16.0,0.004,0.013,0.028,0.3,37.5720164,127.0050075
32.0,15.0,0.003,0.021,0.021,0.4,37.5720164,127.0050075
30.0,16.0,0.003,0.032,0.011,0.4,37.5720164,127.0050075
31.0,13.0,0.003,0.044,0.003,0.5,37.5720164,127.0050075
30.0,13.0,0.004,0.042,0.0069999999999999,0.5,37.5720164,127.0050075
29.0,10.0,0.004,0.032,0.015,0.4,37.5720164,127.0050075
30.0,15.0,0.005,0.024,0.022,0.4,37.5720164,127.0050075
36.0,19.0,0.005,0.027,0.02,0.5,37.5720164,127.0050075
35.0,21.0,0.005,0.018,0.029,0.4,37.5720164,127.0050075
35.0,19.0,0.004,0.016,0.03,0.4,37.5720164,127.0050075
143.0,149.0,0.051,0.0069999999999999,0.014,6.0,37.5720164,127.0050075
101.0,84.0,0.029,0.012,0.052,2.9,37.5720164,127.0050075
27.0,8.0,0.003,0.017,0.026,0.3,37.5720164,127.0050075
22.0,12.0,0.004,0.02,0.024,0.4,37.5720164,127.0050075
24.0,10.0,0.003,0.023,0.022,0.4,37.5720164,127.0050075
17.0,11.0,0.003,0.023,0.02,0.4,37.5720164,127.0050075
17.0,10.0,0.003,0.019,0.021,0.4,37.5720164,127.0050075
20.0,9.0,0.003,0.016,0.022,0.3,37.5720164,127.0050075
22.0,11.0,0.003,0.013,0.024,0.3,37.5720164,127.0050075
20.0,8.0,0.003,0.012,0.024,0.3,37.5720164,127.0050075
18.0,6.0,0.003,0.014,0.023,0.3,37.5720164,127.0050075
18.0,5.0,0.003,0.009,0.027,0.3,37.5720164,127.0050075
16.0,6.0,0.004,0.008,0.028,0.3,37.5720164,127.0050075
14.0,7.0,0.003,0.01,0.026,0.3,37.5720164,127.0050075
12.0,6.0,0.003,0.014,0.023,0.3,37.5720164,127.0050075
16.0,7.0,0.003,0.017,0.02,0.3,37.5720164,127.0050075
14.0,6.0,0.004,0.022,0.015,0.3,37.5720164,127.0050075
16.0,6.0,0.003,0.029,0.011,0.4,37.5720164,127.0050075
18.0,2.0,0.004,0.035,0.0069999999999999,0.4,37.5720164,127.0050075
20.0,7.0,0.004,0.043,0.0069999999999999,0.7,37.5720164,127.0050075
27.0,14.0,0.004,0.041,0.01,0.6,37.5720164,127.0050075
30.0,17.0,0.004,0.04,0.012,0.5,37.5720164,127.0050075
31.0,18.0,0.005,0.034,0.017,0.4,37.5720164,127.0050075
34.0,20.0,0.005,0.039,0.016,0.5,37.5720164,127.0050075
37.0,22.0,0.005,0.029,0.022,0.4,37.5720164,127.0050075
34.0,19.0,0.004,0.026,0.023,0.4,37.5720164,127.0050075
20.0,10.0,0.003,0.018,0.029,0.3,37.5720164,127.0050075
18.0,12.0,0.003,0.027,0.022,0.4,37.5720164,127.0050075
20.0,10.0,0.003,0.037,0.013,0.5,37.5720164,127.0050075
22.0,14.0,0.004,0.039,0.012,0.4,37.5720164,127.0050075
22.0,13.0,0.003,0.041,0.011,0.5,37.5720164,127.0050075
21.0,12.0,0.003,0.044,0.008,0.5,37.5720164,127.0050075
21.0,12.0,0.004,0.052,0.003,0.5,37.5720164,127.0050075
25.0,14.0,0.004,0.052,0.003,0.6,37.5720164,127.0050075
23.0,14.0,0.004,0.047,0.006,0.4,37.5720164,127.0050075
27.0,15.0,0.004,0.042,0.0069999999999999,0.5,37.5720164,127.0050075
25.0,16.0,0.004,0.043,0.005,0.5,37.5720164,127.0050075
27.0,18.0,0.004,0.048,0.002,0.6,37.5720164,127.0050075
26.0,17.0,0.004,0.054,0.002,0.8,37.5720164,127.0050075
29.0,18.0,0.004,0.054,0.003,0.8,37.5720164,127.0050075
32.0,22.0,0.004,0.042,0.006,0.5,37.5720164,127.0050075
35.0,25.0,0.004,0.041,0.006,0.5,37.5720164,127.0050075
34.0,20.0,0.004,0.031,0.013,0.5,37.5720164,127.0050075
29.0,18.0,0.004,0.032,0.015,0.5,37.5720164,127.0050075
30.0,18.0,0.004,0.02,0.025,0.4,37.5720164,127.0050075
27.0,14.0,0.005,0.02,0.025,0.4,37.5720164,127.0050075
33.0,23.0,0.005,0.017,0.029,0.5,37.5720164,127.0050075
33.0,22.0,0.005,0.015,0.031,0.4,37.5720164,127.0050075
39.0,21.0,0.004,0.012,0.035,0.3,37.5720164,127.0050075
30.0,10.0,0.003,0.014,0.033,0.3,37.5720164,127.0050075
31.0,10.0,0.003,0.018,0.029,0.3,37.5720164,127.0050075
21.0,10.0,0.003,0.02,0.027,0.3,37.5720164,127.0050075
16.0,9.0,0.004,0.023,0.023,0.4,37.5720164,127.0050075
16.0,9.0,0.003,0.019,0.025,0.3,37.5720164,127.0050075
16.0,8.0,0.003,0.02,0.023,0.4,37.5720164,127.0050075
16.0,10.0,0.003,0.019,0.023,0.4,37.5720164,127.0050075
19.0,11.0,0.003,0.018,0.023,0.3,37.5720164,127.0050075
22.0,12.0,0.003,0.016,0.027,0.3,37.5720164,127.0050075
19.0,12.0,0.003,0.017,0.025,0.3,37.5720164,127.0050075
21.0,11.0,0.003,0.018,0.023,0.3,37.5720164,127.0050075
20.0,11.0,0.003,0.016,0.025,0.3,37.5720164,127.0050075
19.0,10.0,0.003,0.011,0.028,0.3,37.5720164,127.0050075
17.0,10.0,0.003,0.01,0.03,0.3,37.5720164,127.0050075
14.0,7.0,0.003,0.018,0.023,0.3,37.5720164,127.0050075
16.0,7.0,0.004,0.029,0.013,0.3,37.5720164,127.0050075
15.0,7.0,0.003,0.029,0.013,0.4,37.5720164,127.0050075
23.0,7.0,0.003,0.018,0.023,0.3,37.5720164,127.0050075
22.0,7.0,0.002,0.021,0.021,0.4,37.5720164,127.0050075
42.0,11.0,0.003,0.021,0.021,0.4,37.5720164,127.0050075
30.0,8.0,0.003,0.025,0.02,0.4,37.5720164,127.0050075
27.0,9.0,0.003,0.018,0.026,0.3,37.5720164,127.0050075
26.0,18.0,0.004,0.019,0.027,0.4,37.5720164,127.0050075
27.0,17.0,0.004,0.016,0.03,0.3,37.5720164,127.0050075
37.0,14.0,0.004,0.018,0.03,0.3,37.5720164,127.0050075
33.0,15.0,0.004,0.02,0.026,0.4,37.5720164,127.0050075
31.0,16.0,0.004,0.025,0.02,0.4,37.5720164,127.0050075
26.0,17.0,0.003,0.021,0.021,0.4,37.5720164,127.0050075
29.0,14.0,0.004,0.018,0.023,0.4,37.5720164,127.0050075
35.0,13.0,0.003,0.016,0.024,0.4,37.5720164,127.0050075
44.0,13.0,0.003,0.016,0.024,0.4,37.5720164,127.0050075
44.0,12.0,0.003,0.015,0.024,0.3,37.5720164,127.0050075
44.0,14.0,0.003,0.015,0.025,0.3,37.5720164,127.0050075
50.0,13.0,0.004,0.013,0.025,0.3,37.5720164,127.0050075
52.0,10.0,0.004,0.009,0.028,0.3,37.5720164,127.0050075
56.0,11.0,0.004,0.008,0.028,0.3,37.5720164,127.0050075
52.0,10.0,0.004,0.009,0.027,0.3,37.5720164,127.0050075
51.0,12.0,0.003,0.009,0.026,0.3,37.5720164,127.0050075
50.0,13.0,0.004,0.012,0.023,0.4,37.5720164,127.0050075
